ISBN-13,Title,Author,Publisher,Description,NYT Review Link,Most Recent Bestseller Date,Most Recent Rank,Number of Weeks on List
9.78038E+12,A HEARTBREAKING WORK OF STAGGERING GENIUS,Dave Eggers,Simon & Schuster,A memoir of bringing up his younger brother after both his parents die of cancer; originally published in 2000.,,10/25/2014,4,0
9.78193E+12,SCOTT PILGRIM: PRECIOUS LITTLE LIFE,Bryan Lee O’Malley,Oni Press,"Meet Scott Pilgrim, twentysomething slacker, member of the band Sex Bob-Omb and would-be suitor of Ramona Flowers.",,9/17/2011,10,78
9.78045E+12,THE RESCUE,Nicholas Sparks,Grand Central,"A volunteer fireman helps a young single mother search for her missing son, a 4-year-old with severe learning disabilities.",,1/1/2022,10,0
9.78045E+12,THE GUARDIAN,Nicholas Sparks,Grand Central,"While trying to choose between two suitors, a young widow realizes that her life is in danger; originally published in 2003.",,7/16/2016,3,2
9.78038E+12,PERSEPOLIS,Marjane Satrapi,Pantheon,"A memoir of the author’s life from ages 6 to 14 in Iran, during and after its 1979 revolution, depicted through black-and-white comic strip images.",,10/3/2020,11,0
9.78076E+12,THE TALE OF DESPEREAUX,Kate DiCamillo,Candlewick,"A mouse, a rat and a girl on a magic trip.",https://www.nytimes.com/2003/11/16/books/children-s-books-a-world-without-soup.html,12/5/2009,9,63
9.78038E+12,SHUTTER ISLAND,Dennis Lehane,Harper,A United States marshal hunts for a beautiful patient escaped from a hospital for the criminally insane on an island in Boston’s outer harbor.,https://www.nytimes.com/2003/04/20/books/crime-205109.html,4/25/2010,25,0
9.78074E+12,TEAM OF RIVALS,Doris Kearns Goodwin,Simon & Schuster,"The political genius of Abraham Lincoln, revealed in his relationship with his cabinet; originally published in 2005.",https://www.nytimes.com/2005/11/06/books/review/06mcpherson.html,8/26/2017,7,13
9.78045E+12,THE WEDDING,Nicholas Sparks,Grand Central,A regretful careerist seeks to make amends.,,3/26/2016,5,1
9.7814E+12,THE YEAR OF MAGICAL THINKING,Joan Didion,Vintage,Winner of the National Book Award in 2005. The late writer recounts her daughter’s illness and husband’s death.,https://www.nytimes.com/2005/10/09/books/review/09pinsky.html,2/12/2022,10,7
9.78014E+12,Year of Wonders: A Novel of the Plague,Geraldine Brooks,,,https://www.nytimes.com/2001/08/26/books/quarantined.html,null,null,null
9.78159E+12,FABLEHAVEN,Brandon Mull,"Shadow Mountain/Aladdin, hardcover and paperback",Evil is afoot in magical creatures' haven.,,3/18/2017,4,16
9.78014E+12,The Deep End of the Ocean (Oprah's Book Club),Jacquelyn Mitchard,,,https://www.nytimes.com/1996/08/18/books/kidnapped.html,null,null,null
9.7814E+12,A Fine Balance (Oprah's Book Club),Rohinton Mistry,,,https://www.nytimes.com/1996/06/23/books/an-accidental-family.html,null,null,null
9.78039E+12,THE HISTORY OF LOVE,Nicole Krauss,Norton,,https://www.nytimes.com/2005/05/01/books/review/01MILLERL.html,10/24/2010,32,0
9.78035E+12,The Bonesetter's Daughter: A Novel (Ballantine Reader's Circle),Amy Tan,,,https://www.nytimes.com/2001/02/18/books/talking-to-ghosts.html,null,null,null
9.78032E+12,MAXIMUM RIDE,James Patterson,"Little, Brown & Company",Winged children try to save the world.,,6/6/2015,10,81
9.78038E+12,White Teeth: A Novel,Zadie Smith,,,https://www.nytimes.com/2001/06/17/books/new-noteworthy-paperbakcs.html,null,null,null
9.78006E+12,DEAD WITCH WALKING,Kim Harrison,HarperCollins Publishers,The witch and bounty hunter Rachel Morgan must evade shape-shifting assassins and vampires in order to clear her name; Book 1 of the Hollows series.,,3/24/2012,32,0
9.78014E+12,ALEXANDER HAMILTON,Ron Chernow,Penguin,A biography of the first Treasury secretary and one of the Founding Fathers of the United States. The basis of the Tony Award-winning Broadway musical.,https://www.nytimes.com/2004/04/25/books/creating-capitalism.html,9/19/2020,13,119
9.78081E+12,The Birth of Venus: A Novel,Sarah Dunant,,,https://www.nytimes.com/2004/03/07/books/girl-with-a-snake-tattoo.html,null,null,null
9.78068E+12,The Divine Comedy: Inferno; Purgatorio; Paradiso (Everyman's Library),Dante Alighieri,,,https://www.nytimes.com/2000/07/23/books/working-their-way-to-the-top.html,null,null,null
9.78189E+12,BLANKETS,Craig Thompson,Top Shelf Productions,This semi-autobiographical tale is about sibling rivalry and a first love.,,12/17/2011,8,1
9.78039E+12,THE HOT ZONE,Richard Preston,Anchor,"The discovery of the Ebola virus, and the efforts to keep it from spreading; first published in 1994.",,12/27/2014,9,0
9.78039E+12,MONEYBALL,Michael Lewis,Norton,How the Oakland Athletics built a successful team despite one of the smallest payrolls in baseball.,,4/25/2015,11,0
9.78045E+12,MORGANVILLE VAMPIRES,Rachel Caine,New American Library,Vampires in town.,,11/9/2013,10,12
9.78006E+12,Cryptonomicon,Neal Stephenson,,,https://www.nytimes.com/1999/05/23/books/click-here.html,null,null,null
9.78032E+12,MAXIMUM RIDE,James Patterson,"Little, Brown & Company",Winged children try to save the world.,,6/6/2015,10,81
9.78038E+12,NOTES FROM A SMALL ISLAND,Bill Bryson,Morrow,An affectionate and irreverent walking tour of Britain. Originally published in 1996.,,4/30/2016,4,0
9.78032E+12,The Pilot's Wife (Oprah's Book Club),Anita Shreve,,,https://www.nytimes.com/1998/06/07/books/carry-on-baggage.html,null,null,null
9.78035E+12,Drowning Ruth: A Novel (Oprah's Book Club),Christina Schwarz,,,https://www.nytimes.com/2000/09/10/books/thin-ice.html,null,null,null
9.7814E+12,SONG OF SOLOMON,Toni Morrison,Vintage,"Winner of the 1977 National Book Critics Circle Award for fiction. The coming-of-age story of Macon ""Milkman"" Dead III, a descendant of slaves.",,8/10/2019,9,1
9.78074E+12,WILD SWANS,Jung Chang,Touchstone,The story of three generations of women in 20th-century China.,https://www.nytimes.com/1991/10/13/books/when-nuances-meant-life-or-death.html,8/2/2014,14,5
9.78014E+12,IN THE HEART OF THE SEA,Nathaniel Philbrick,Penguin,"The sinking of the New England whaleship Essex in 1820, by a sperm whale. The basis of the movie.",https://www.nytimes.com/2000/06/04/books/whaling-away.html,12/31/2016,8,0
9.78077E+12,In a Sunburned Country,Bill Bryson,,,https://www.nytimes.com/2000/08/20/books/how-to-speak-australian.html,null,null,null
9.78039E+12,The Broker,John Grisham,,,,null,null,null
9.78067E+12,TRUMAN,David McCullough,Simon & Schuster,A biography of the 33rd president; originally published in 1992.,https://www.nytimes.com/1992/06/21/books/work-hard-trust-in-god-have-no-fear.html,1/26/2013,32,0
9.78039E+12,A Map of the World (Oprah's Book Club),Jane Hamilton,,,https://www.nytimes.com/1994/07/17/books/witch-hunt-in-prairie-center.html,null,null,null
9.78039E+12,A Painted House,John Grisham,,,https://www.nytimes.com/2001/03/04/books/no-lawyers-allowed.html,null,null,null
9.78044E+12,The Kitchen God's Wife,Amy Tan,,,https://www.nytimes.com/1991/06/16/books/pangs-of-an-abandoned-child.html,null,null,null
9.78062E+12,THE MIRACULOUS JOURNEY OF EDWARD TULANE,Kate DiCamillo.,Candlewick,,https://www.nytimes.com/2006/05/14/books/review/14hearn.html,2/27/2021,10,0
9.78014E+12,Peter and the Starcatchers,Ridley Pearson,,,https://www.nytimes.com/2004/11/14/books/review/14GORRASC.html,null,null,null
9.78014E+12,WHAT IS THE WHAT,Dave Eggers,Knopf Publishing Group,,https://www.nytimes.com/2007/10/14/books/review/paperbackrow.html,8/30/2008,31,0
9.78038E+12,Intensity,Dean Koontz,,,https://www.nytimes.com/1996/02/25/books/murderers-row.html,null,null,null
9.78045E+12,A Long Way Down,Nick Hornby,,,https://www.nytimes.com/2005/06/12/books/review/12HEATHL.html,null,null,null
9.78074E+12,MOUNTAINS BEYOND MOUNTAINS,Tracy Kidder,Random House,"A portrait of Dr. Paul Farmer, who works with the Haitian poor.",https://www.nytimes.com/2003/09/14/books/a-season-in-hell.html,8/22/2010,31,0
9.78074E+12,Emotional Intelligence: 10th Anniversary Edition; Why It Can Matter More Than IQ,Daniel Goleman,,,https://www.nytimes.com/1995/09/17/books/ruling-passions.html,null,null,null
9.78079E+12,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,,,https://www.nytimes.com/2003/09/14/books/outside-the-tastee-freeze.html,null,null,null
9.78014E+12,THE SPIRIT CATCHES YOU AND YOU FALL DOWN,Anne Fadiman,"Farrar, Straus & Giroux",A collision of western medicine with the deeply held spiritual and religious practices of Hmong refugees has tragic consequences for the latter's young epileptic child.,,8/27/2016,20,0
9.78031E+12,The Vampire Armand (The Vampire Chronicles) Book 6,Anne Rice,,,https://www.nytimes.com/1998/12/20/books/books-in-brief-fiction-375268.html,null,null,null
9.78006E+12,The Jane Austen Book Club,Karen Joy Fowler,,,https://www.nytimes.com/2004/05/02/books/review/02OCONNT.html,null,null,null
9.78031E+12,Birdsong: A Novel of Love and War,Sebastian Faulks,,,https://www.nytimes.com/1996/02/11/books/tunnel-vision.html,null,null,null
9.78039E+12,The Body Farm (A Scarpetta Novel),Patricia Cornwell,,,https://www.nytimes.com/1994/10/16/books/among-the-cadavers.html,null,null,null
9.78075E+12,Persepolis 2: The Story of a Return,Marjane Satrapi,,,https://www.nytimes.com/2004/08/22/books/she-can-t-go-home-again.html,null,null,null
9.78052E+12,While I Was Gone (Oprah's Book Club),Sue Miller,,,https://www.nytimes.com/1999/02/21/books/the-good-wife.html,null,null,null
9.78059E+12,1491,Charles C Mann,Vintage,A portrait of pre-Columbian life in the Americas.,,11/28/2015,4,0
9.78006E+12,Less Than Zero,Bret Easton Ellis,,,https://www.nytimes.com/1985/06/16/books/in-short-fiction-050756.html,null,null,null
9.78006E+12,Galapagos: A Novel (Delta Fiction),Kurt Vonnegut,,,https://www.nytimes.com/1985/10/06/books/how-humans-got-flippers-and-beaks.html,null,null,null
9.78045E+12,Prep: A Novel,Curtis Sittenfeld,,,https://www.nytimes.com/2006/02/12/books/review/12sittenfield.html,null,null,null
9.78074E+12,Confessions of an Ugly Stepsister: A Novel,Gregory Maguire,,,https://www.nytimes.com/1999/12/12/books/books-in-brief-fiction-706310.html,null,null,null
