Book ID (Isbn-13),Average Rating,Ratings Count,Text Review Count
9780743244251,3.22,460,41
9780140179170,3.48,2492,145
9780679722953,3.64,3100,212
9781594201202,4.13,5296,587
9780060930219,3.96,1415,177
9780060931674,3.69,2161,230
9780140283389,4.01,762,213
9780312423209,4.07,8086,602
9780141180632,3.69,702,69
9780143039945,4.01,29764,2164
9780316724432,3.5,334,34
9780140189308,3.8,2473,220
9781400043149,3.89,2656,336
9780374522216,4.17,11889,738
9780679754862,3.8,2962,255
9780679752868,3.86,2842,292
9780374521721,4.21,26934,1825
9780679754855,3.81,2070,169
9780307264879,4.5,1564,108
9780374529949,3.87,23656,1706
9780143039839,3.89,43200,1873
9780140097313,3.79,12410,734
9780140097351,3.64,3672,195
9780940650763,3.89,2998,164
9780963188922,3.89,74,2
9780312426231,3.84,17977,1157
9780140115857,3.94,16099,503
9780140154078,3.9,361,36
9780805081459,3.23,6688,562
9780140178135,3.96,11744,443
9780811214988,3.77,2390,120
9782742741465,4.38,21,1
9780143036555,3.93,52522,2780
9780446579780,3.4,213,26
9780521386739,4.15,719,86
9780743203043,3.8,4762,512
9780345438713,3.91,62,4
9780393318289,4.39,278,20
9781599869940,4.01,2862,262
9780806519609,3.78,2829,334
9780822549208,3.93,105,5
9780932813862,4.13,102,2
9780373792689,3.77,478,12
9780974514055,4.03,1577,49
9780764585975,3.95,73,8
9780307281708,3.68,408,96
9780812969702,4.11,1693,100
9780060255084,4.14,1,0
9780330485388,3.81,6485,966
9781594130236,3.81,367,73
9780345360359,3.8,1371,43
785342303476,3.98,793,28
9780321430847,3.8,549,42
9783822840856,3.85,288,31
9780743264464,3.81,26381,1109
9780743236010,3.73,62089,3324
9780553572490,3.51,474,19
9780060589462,3.77,166046,6446
9780802789471,4.08,1773,274
9780688060695,3.72,286,10
9781859605158,3.85,40,2
9781592530878,3.93,27,0
9780451528803,4.11,7300,266
9780192833983,4.11,211671,6245
9780486451381,4.13,2403,210
9780452011878,3.69,322483,14702
9780451163080,3.68,2750,108
9780452286757,3.87,1886,229
9780451163936,3.51,11462,467
9780452281257,3.63,110952,7277
9780451187840,3.91,23199,1086
9780451147950,3.88,3501,153
9780452274044,3.96,18,2
9780471791430,3.95,150,7
9780553803815,3.88,646,83
9780375755194,4.23,12180,630
9781592283194,3.62,51,5
9780975599518,3.09,1601,284
9780374502003,3.63,8854,672
9780307263940,3.55,17155,1841
9780312405540,3.77,44,3
9780195170139,3.59,234,11
9781400079490,3.77,33321,2925
9780688171629,3.59,8703,417
9780060932688,4.19,6375,179
9781400034956,3.97,7888,411
